LR,WD,Loss
+--------+--------+--------------------+
|,LR,|,WD,|,Loss,|
+--------+--------+--------------------+
|,0.001,|,0.0001,|,15.881997249126435,|
|,0.001,|,1e-05,|,15.929472455978393,|
|,0.001,|,0.0,|,16.247642979621887,|
|,0.0001,|,0.0001,|,13.686593487262726,|
|,0.0001,|,1e-05,|,12.623172914981842,|
|,0.0001,|,0.0,|,13.293093478679657,|
|,0.0005,|,0.0001,|,14.892317484617234,|
|,0.0005,|,1e-05,|,15.51800599694252,|
|,0.0005,|,0.0,|,16.153744720220566,|
+--------+--------+--------------------+
